Date,LNVGF Adj Close,MSI Adj Close
6/13/23,1.005533,276.608063
6/14/23,1.034262,275.815247
6/15/23,1.015109,279.739716
6/16/23,1.062992,277.737854
6/20/23,0.995956,276.608032
6/21/23,0.98638,278.639648
6/22/23,0.976803,281.137085
6/23/23,0.967227,276.112518
6/26/23,0.967227,277.876587
6/27/23,0.98638,281.335297
6/28/23,0.98638,280.998322
6/29/23,1.024686,286.003052
6/30/23,1.024686,290.651031
7/3/23,0.995956,290.135712
7/5/23,1.043839,290.115875
7/6/23,1.034262,292.970032
7/7/23,1.034262,289.253693
7/10/23,1.034262,292.325867
7/11/23,1.024686,293.643921
7/12/23,1.024686,292.216858
7/13/23,1.034262,289.541077
7/14/23,1.034262,288.450928
7/17/23,1.034262,288.877075
7/18/23,1.034262,288.104034
7/19/23,1.024686,289.342834
7/20/23,1.024686,292.861053
7/21/23,1.024686,293.534943
7/24/23,1.034262,292.910614
7/25/23,1.062992,295.289093
7/26/23,0.961849,292.752014
7/27/23,0.981681,289.075256
7/28/23,1.110588,288.44101
7/31/23,1.110588,284.060638
8/1/23,1.051092,285.547211
8/2/23,1.041176,285.071472
8/3/23,1.090756,285.130951
8/4/23,1.090756,276.350403
8/7/23,1.110588,277.896393
8/8/23,1.021345,275.309753
8/9/23,1.061008,278.699158
8/10/23,1.011429,279.462219
8/11/23,1.001513,283.396606
8/14/23,0.981681,282.484924
8/15/23,0.981681,278.768524
8/16/23,0.981681,279.115387
8/17/23,0.981681,274.972839
8/18/23,0.912269,275.190826
8/21/23,0.971765,274.675537
8/22/23,0.971765,273.416931
8/23/23,0.971765,275.299866
8/24/23,0.981681,273.129517
8/25/23,0.951933,276.281006
8/28/23,0.951933,278.362183
8/29/23,1.08084,279.501862
8/30/23,1.070924,280.651489
8/31/23,1.08084,281.028076
9/1/23,1.051092,281.137085
9/5/23,1.070924,278.550476
9/6/23,1.070924,278.401825
9/7/23,1.070924,279.878448
9/8/23,0.981681,279.967651
9/11/23,1.041176,280.968597
9/12/23,1.041176,278.778412
9/13/23,1.041176,277.569305
9/14/23,1.041176,283.166443
9/15/23,1.021345,281.555908
9/18/23,1.041176,285.721466
9/19/23,1.021345,284.130798
9/20/23,1.021345,284.071136
9/21/23,1.011429,277.53952
9/22/23,0.991597,276.117859
9/25/23,0.991597,275.044189
9/26/23,1.001513,271.902618
9/27/23,1.051092,271.385681
9/28/23,1.051092,272.588593
9/29/23,1.051092,270.649994
10/2/23,0.971765,271.326019
10/3/23,0.991597,269.904388
10/4/23,1.001513,272.628357
10/5/23,1.001513,271.634247
10/6/23,1.021345,274.527252
10/9/23,1.021345,284.637817
10/10/23,1.070924,283.385162
10/11/23,1.070924,285.920288
10/12/23,1.070924,286.596313
10/13/23,1.070924,286.467072
10/16/23,1.090756,291.606873
10/17/23,1.08084,288.157135
10/18/23,0.951933,286.536652
10/19/23,1.041176,280.293335
10/20/23,1.041176,279.607361
10/23/23,1.051092,277.798004
10/24/23,1.090756,279.796265
10/25/23,1.070924,278.871704
10/26/23,1.140336,273.234802
10/27/23,1.150252,270.799133
10/30/23,1.170084,274.60675
10/31/23,1.160168,276.833649
11/1/23,1.160168,278.861755
11/2/23,1.18,279.527863
11/3/23,1.18,297.671265
11/6/23,1.219664,302.801086
11/7/23,1.219664,303.198792
11/8/23,1.150252,307.384216
11/9/23,1.170084,306.99646
11/10/23,1.170084,309.203491
11/13/23,1.18,307.831573
11/14/23,1.219664,310.436279
11/15/23,1.239496,312.28537
11/16/23,1.239496,315.407074
11/17/23,1.239496,316.391296
11/20/23,1.22958,317.564392
11/21/23,1.199832,318.121124
11/22/23,1.199832,317.653839
11/24/23,1.209748,318.966125
11/27/23,1.18,318.79715
11/28/23,1.19,316.600037
11/29/23,1.22,317.176666
11/30/23,1.22,320.984283
12/1/23,1.21,323.419983
12/4/23,1.22,321.769684
12/5/23,1.19,322.664429
12/6/23,1.27,320.586639
12/7/23,1.16,321.471436
12/8/23,1.15,322.624664
12/11/23,1.15,324.503601
12/12/23,1.23,327.038727
12/13/23,1.26,325.030518
12/14/23,1.35,314.919464
12/15/23,1.27,309.614624
12/18/23,1.3,314.06189
12/19/23,1.3,312.077576
12/20/23,1.31,308.507782
12/21/23,1.33,309.664459
12/22/23,1.29,308.966461
12/26/23,1.31,309.116028
12/27/23,1.38,309.534851
12/28/23,1.38,310.182983
12/29/23,1.42,312.197235
1/2/24,1.45,310.751373
1/3/24,1.3,311.110352
1/4/24,1.35,310.861053
1/5/24,1.35,308.278442
1/8/24,1.34,311.967865
1/9/24,1.37,311.120331
1/10/24,1.37,314.141663
1/11/24,1.3,313.38382
1/12/24,1.36,315.408051
1/16/24,1.3,314.749908
1/17/24,1.28,316.126007
1/18/24,1.21,320.054749
1/19/24,1.24,325.349609
1/22/24,1.25,324.063293
1/23/24,1.29,328.530518
1/24/24,1.35,327.413727
1/25/24,1.28,327.653015
1/26/24,1.18,325.170135
1/29/24,1.12,325.818268
1/30/24,1.03,326.58606
1/31/24,1.04,318.588959
2/1/24,1.02,324.222839
2/2/24,1.09,326.685791
2/5/24,1.05,324.372406
2/6/24,1.08,324.452179
2/7/24,1.04,326.994904
2/8/24,1.07,327.413727
2/9/24,1.03,329.946472
2/12/24,1.05,319.177277
2/13/24,1.03,318.309753
2/14/24,1.03,318.479279
2/15/24,1.06,322.97641
2/16/24,1.07,319.576111
2/20/24,1.06,322.118866
2/21/24,1.04,323.893799
2/22/24,1.1,330.096039
2/23/24,1.1,329.328217
2/26/24,1.12,327.613129
2/27/24,1.16,327.742767
2/28/24,1.11,330.30545
2/29/24,1.05,329.447906
3/1/24,1.14,334.603149
3/4/24,1.28,334.812531
3/5/24,1.23,330.863861
3/6/24,1.25,336.567535
3/7/24,1.25,333.24704
3/8/24,1.25,334.453583
3/11/24,1.2,337.066101
3/12/24,1.23,339.44931
3/13/24,1.25,342.699982
3/14/24,1.25,342.690002
3/15/24,1.2,344.190002
3/18/24,1.2,340.029999
3/19/24,1.2,345.799988
3/20/24,1.2,346.029999
3/21/24,1.25,349.170013
3/22/24,1.24,348.559998
3/25/24,1.15,347.920013
3/26/24,1.15,347.609985
3/27/24,1.11,353.410004
3/28/24,1.17,354.980011
4/1/24,1.19,353.589996
4/2/24,1.19,352.070007
4/3/24,1.13,350.350006
4/4/24,1.13,347.929993
4/5/24,1.12,352.299988
4/8/24,1.13,352.029999
4/9/24,1.13,352.959991
4/10/24,1.13,347.450012
4/11/24,1.13,348.73999
4/12/24,1.06,343.809998
4/15/24,1.05,338.579987
4/16/24,1.02,340.109985
4/17/24,1.05,340.51001
4/18/24,1.1,339.459991
4/19/24,1.07,339.649994
4/22/24,1.05,345.230011
4/23/24,1.06,345.549988
4/24/24,1.05,345.109985
4/25/24,1.05,349.019989
4/26/24,1.13,346.480011
4/29/24,1.17,347.690002
4/30/24,1.1,339.149994
5/1/24,1.1,336
5/2/24,1.15,336.23999
5/3/24,1.17,353.700012
5/6/24,1.17,349.640015
5/7/24,1.17,358.170013
5/8/24,1.17,359.019989
5/9/24,1.3,360.109985
5/10/24,1.3,362.850006
5/13/24,1.31,358
5/14/24,1.32,361.049988
5/15/24,1.32,365.029999
5/16/24,1.31,366.410004
5/17/24,1.32,367.799988
5/20/24,1.32,368.429993
5/21/24,1.33,369.73999
5/22/24,1.48,371.070007
5/23/24,1.4,363.350006
5/24/24,1.43,364.600006
5/28/24,1.48,359.890015
5/29/24,1.46,357.109985
5/30/24,1.5,359.690002
5/31/24,1.46,364.910004
6/3/24,1.45,366.399994
6/4/24,1.4,369.220001
6/5/24,1.43,370.649994
6/6/24,1.5,370.470001
6/7/24,1.34,371.059998
6/10/24,1.34,373.799988
6/11/24,1.41,376.899994
6/12/24,1.38,379.350006
6/13/24,1.35,376.709991